veredicto	branch	razon_corta
SALTAR	fix/ci-vitest-pool-singlefork	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/orphan-wiring-wave1-2026-06-24	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
CONECTAR	fix/e2e-vida-safety-2026-06-23	Agrega projectsRead.rules.test.ts: unica cobertura del READ top-level projects/{id} via members array-contains (ruta SOS/ProjectContext, vida-safety); main NO testea esa query LIST (solo usa projects como seed). merge-base diff +319/-12, no esta atrasada.
SALTAR	feat/f4-tokenize-broken-pages-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/vitest-pool-hang-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/backend-pipelines-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-vida-legal-orphans-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/stability-blockers-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/frontend-redesign-f2	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	security/audit-hardening-2026-06-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/ley-karin-notify-lead	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/guard-hang-global-async-errors	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/guard-pinsign	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/guard-infra-error-5xx	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	chore/wire-orphans-real-2b	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	chore/router-tests-wave8f	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-epp-inspection	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/incidentflow-hub	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/change-management-moc	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-lone-worker-admin	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-legal-obligations	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-custody-chain-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-project-closure-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/test-residual-risk	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/test-mountain-refuges	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/test-confidential-reports	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/test-pre-shift-risk	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-roi-scenario	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-project-comparator	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-requirement-gate-panel	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-reconciliation-status	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-research-mode	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-multi-role-summary	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-confidential-report-inbox	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-adoption	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-portable-history-preview	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-emergency-brigade-panel	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-worker-readiness-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-non-conformity	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-reputational-alerts	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-refuges	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-signaletics	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-spaced-repetition	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-use-skill-gap	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-drill-result-review-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-hazmat-compatibility-panel	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-safety-metrics-dashboard	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-root-cause-tree-summary	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-supervisor-briefing-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-raci-health-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-residual-risk-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-maturity-index-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-pre-shift-risk-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-faena-state-banner	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-document-hygiene-panel	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-legal-obligation-card	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/mount-iper-matrix	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/climateroutes-real-eonet-pins	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/telemetry-real-gas-hud	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/real-worker-pings-evacuation-map	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/curriculum-real-training-list	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/twin-fabricated-workers-evacuation	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/dte-retry-enqueue	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/zone-entry-worker-surface	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/sos-zero-reach-honest	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/community-glossary-privacy	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/sitebook-sign-idor	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/honest-data-no-invented-telemetry	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/f4-aptitude-webauthn-verify	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/cphs-actas-server	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/billing-cycle-observability	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/tier-gating-report-only	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/portable-history-cross-tenant	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/uf-diamante-pricing	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/uf-rate-pipeline	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/legal-reconcile-cron	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/legal-unlock-by-headcount	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/cascaron-anonymize-endpoint	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/scale-gate-report-only	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	claude/ola1-evac-cross-device-resume	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	claude/ola1-stopwork-declare-hardening	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	claude/ola1-loneworker-start-audit	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	claude/ola1-stopwork-resume	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	claude/ola1-evac-consolidate	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	claude/ola1-dea-join	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	claude/ola0-driver-dictation	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	claude/ola0-rules-trio	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	claude/ola0-csv-crews-fix	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	claude/ola0-ai-metering	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/triage-exempt-falsepositives	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/e2e-project-context-resubscribe	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/e2e-landing-hero-cta-copy	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	refactor/remove-discarded-pinecone	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/coach-ia-por-dominio	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	test/coverage-server-batch-7	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/c11-type-sweep-consolidated-rescue-2026-05-28	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feat/wire-weather-safety-recommendations-dashboard	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/p0-crypto-ids-math-random-removal	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feature/fase-b6-i18n-batch3-2026-05-24	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feature/fase-b6-i18n-batch2-2026-05-24	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feature/fase-b6-i18n-vidas-criticas-2026-05-23	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	feature/createProjectScopedStore-helper-2026-05-23	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
DUDA	fix/sprint-k-talks-audit-portal-2026-05-23	Agrega src/services/auditPortal/auditPortalStore.ts (75 LOC, 2026-05-23). main YA tiene suite auditPortal mas completa (components/auditPortal/*, useAuditPortal, server routes, tests, hasta 2026-06-19) => probablemente superada/consolidada, pero confirmar que el store no aporte logica no migrada.
SALTAR	fix/sprint-k-talks-changes-custody-2026-05-23	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/sprint-k-equipment-shift-sitebook-2026-05-23	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/sprint-k-consistency-audit-2026-05-23	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/2.20-residuals-and-sprint-k-2026-05-23	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/2.20-bearer-migration-batch-2026-05-23	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/sprint-k-exceptions-page-2026-05-23	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/sprint-k-lone-worker-page-2026-05-23	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/2.28-digital-twin-ui-honesty-2026-05-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/typecheck-residual-2026-05-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/sprint-k-vidas-criticas-pages-2026-05-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/2.18-vision-on-device-wire-2026-05-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/2.9-outbox-conflict-resolution-2026-05-22	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/2.24-auth-emulator-2026-05-21	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/fatigue-evacuation-wire-2026-05-21	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	fix/2.20-api-auth-helper-2026-05-21	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-culture-pulse	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-engineering-controls	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-f6-offline-inspections	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-positive-observations	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-emergency-brigade	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-f16-worker-readiness	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-f7-cphs-minute	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-f20-drills-manager	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-f13-repeating-risks	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-f21-pre-shift-risk	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-f12-lessons-learned	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-f15-work-permits	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-f26-maturity-indicator	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/agent-f5-qr-signature	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-f-cleanups	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-f-ar-real-vision	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-e-nasa-power-climate	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-d-arbitrary-data-fakes	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-c-life-critical-fakes	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/codex-fixes-plus-fakes	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/test-stabilization-2026-05-15	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/site-book-crdt	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/ai-response-card-streaming	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/kek-rotation-panel-ui	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/make-fake-premium-pages-real	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/site-book-crdt-adapter	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/panel-streaming-wire	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/settings-kek-mount	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-48-s48-i18n	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-44-s44-sprintk	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-43-p2-backlog	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
DUDA	dev/sprint-41-f6-offline-inspection	Agrega components/inspections/OfflineInspectionForm.tsx (+test, 177 LOC, 2026-05-12). main YA tiene stack offline-inspection completo (pages/OfflineInspection, useOfflineInspections, server route, services inspectionOutbox/offlineInspectionService, 2026-06-11) => prototipo superado, pero confirmar paridad de UI.
SALTAR	dev/sprint-41-f28-recommendation-explainability	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-41-f23-document-versioning	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-41-f27-multi-project-comparator	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-41-f29-incident-trends	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-40-f9-data-incompleteness	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-40-f13-repeating-risk-radar	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-40-f8-inbox-prevencionista	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-40-f5-qr-signature	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-40-f7-cphs-minute-autogen	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-40-fixA-sentry-context-wrap	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-40-stream5-sentry-coverage-batch2	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-35-aptitude-mesh-i18n-cron-idempotency-2026-05-06	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
SALTAR	dev/sprint-20-twelfth-wave-multi-agent-2026-05-04	Net-negativo fuerte vs main (atrasada) y no agrega ningun archivo ausente de main => superada/ya en main.
